"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"4409","AMAT_Milan_feed","94","P.ta Volta - Minghetti","","3","","",""
"4472","AMAT_Milan_feed","63","De Angeli - Q.re Olmi (trans. Muggiano)","","3","","",""
"4473","AMAT_Milan_feed","63","Primaticcio - Q.re Olmi (trans. Muggiano)","","3","","",""
"4475","AMAT_Milan_feed","63","Bisceglie M1 - Q.re Olmi (corse limitate)(trans. Muggiano)","","3","","",""
"4479","AMAT_Milan_feed","63","Q.re Olmi - Bisceglie M1","","3","","",""
"4480","AMAT_Milan_feed","63","Q.re Olmi - Lucca","","3","","",""
"4504","AMAT_Milan_feed","61","Brasilia - Murani","","3","","",""
"4540","AMAT_Milan_feed","67","Scanini - Baracca","","3","","",""
"4651","AMAT_Milan_feed","727","Sesto S.G. (1 Maggio) - Cusano M. (Marconi)","","3","","",""
"4653","AMAT_Milan_feed","2","Negrelli - Bausan","","0","","",""
"4654","AMAT_Milan_feed","2","Negrelli - Orefici","","0","","",""
"4658","AMAT_Milan_feed","2","Stz Genova - Bausan","","0","","",""
"4659","AMAT_Milan_feed","2","Farini/Ferrari - Bausan","","0","","",""
"4660","AMAT_Milan_feed","2","Bausan - Negrelli","","0","","",""
"4663","AMAT_Milan_feed","2","Valenza - Negrelli","","0","","",""
"4664","AMAT_Milan_feed","2","Bausan - Farini/Baiamonti","","0","","",""
"4665","AMAT_Milan_feed","2","Bausan - Stz Genova","","0","","",""
"4671","AMAT_Milan_feed","81","Sesto Marelli - Breda","","3","","",""
"4672","AMAT_Milan_feed","81","Breda - Sesto Marelli","","3","","",""
"4694","AMAT_Milan_feed","43","Greco - Firenze","","3","","",""
"4701","AMAT_Milan_feed","925","Segrate (F.lli Cervi) - Milano (Cascina Gobba M2)","","3","","",""
"4702","AMAT_Milan_feed","925","Milano (Olgettina) - Milano (Cascina Gobba M2)","","3","","",""
"4703","AMAT_Milan_feed","925","Milano (Udine) - Milano (Cascina Gobba M2)","","3","","",""
"4704","AMAT_Milan_feed","925","Segrate (Abruzzi) - Milano (Cascina Gobba M2)","","3","","",""
"4705","AMAT_Milan_feed","43","Firenze - Greco","","3","","",""
"4720","AMAT_Milan_feed","50","Lorenteggio - Cairoli","","3","","",""
"4727","AMAT_Milan_feed","63","Q.re Olmi - De Angeli","","3","","",""
"4774","AMAT_Milan_feed","727","Sesto S.G. (1 Maggio) - Cusano M. (Marconi)(corse c.scol.)","","3","","",""
"4796","AMAT_Milan_feed","727","Cusano M. (Marconi) - Sesto S.G. (1 Maggio)","","3","","",""
"4797","AMAT_Milan_feed","727","Cusano M. (Marconi) - Sesto S.G. (1 Maggio) (corse c.scol.)","","3","","",""
"4828","AMAT_Milan_feed","45","San Donato M3 - Ungheria 46","","3","","",""
"4842","AMAT_Milan_feed","31","F.Testi/Bignami - Cinisello B.","","0","","",""
"4844","AMAT_Milan_feed","174","Turro - Cim. Greco - Loreto","","3","","",""
"4865","AMAT_Milan_feed","45","Ungheria/Gonzaga - San Donato M3","","3","","",""
"4872","AMAT_Milan_feed","121","Stz S.Donato M3 - S.Giuliano M (Stz F.S,)","","3","","",""
"4873","AMAT_Milan_feed","121","Stz S.Donato M3 - S.Giuliano M (De Nicola)","","3","","",""
"4874","AMAT_Milan_feed","55","Loreto - Segrate (Lavanderie)","","3","","",""
"4875","AMAT_Milan_feed","55","Segrate (Lavanderie) - Loreto","","3","","",""
"4883","AMAT_Milan_feed","55","Segrate (Lavanderie) - Loreto (dirette)","","3","","",""
"4987","AMAT_Milan_feed","4","Parco Nord - P.za Castello","","0","","",""
"4989","AMAT_Milan_feed","4","P.za Castello - Parco Nord","","0","","",""
"4996","AMAT_Milan_feed","79","Lodovica - Gratosoglio (trans. manduria)","","3","","",""
"5013","AMAT_Milan_feed","58","Parri - Noale","","3","","",""
"5031","AMAT_Milan_feed","728","Milano (Stz Greco) - Cusano M. (Unione)","","3","","",""
"5033","AMAT_Milan_feed","728","Cusano M. (Unione) - Milano (Stz Greco)","","3","","",""
"5044","AMAT_Milan_feed","27","6 Febbraio - Ungheria","","0","","",""
"5046","AMAT_Milan_feed","27","6 Febbraio - Vittoria\Savare'","","0","","",""
"5047","AMAT_Milan_feed","27","Ungheria - 6 Febbraio","","0","","",""
"5049","AMAT_Milan_feed","27","Vittoria\Savare' - 6 Febbraio","","0","","",""
"5050","AMAT_Milan_feed","33","Rim. Lambrate - Lunigiana","","0","","",""
"5051","AMAT_Milan_feed","33","Lunigiana - Rim. di Lambrate","","0","","",""
"5071","AMAT_Milan_feed","74","Cantore - Famagosta M2","","3","","",""
"5072","AMAT_Milan_feed","74","S. Rita da Cascia - Famagosta M2 (ins. da deposito)","","3","","",""
"5073","AMAT_Milan_feed","74","Cantore - Famagosta M2 (con transito da q.re Teramo)","","3","","",""
"5075","AMAT_Milan_feed","81","Duca D'Aosta - Sesto Marelli","","3","","",""
"5084","AMAT_Milan_feed","88","Rogoredo FS - V.le Ungheria","","3","","",""
"5085","AMAT_Milan_feed","88","V.le Ungheria - Rogoredo FS","","3","","",""
"5086","AMAT_Milan_feed","88","88/ (barrata) V.le Aviazione - Rogoredo FS","","3","","",""
"5087","AMAT_Milan_feed","88","88/ (barrata) Rogoredo FS - V.le Aviazione","","3","","",""
"5099","AMAT_Milan_feed","62","Sire Raul - Lodi","","3","","",""
"5105","AMAT_Milan_feed","53","Sesto Marelli M1 - Stz Lambrate","","3","","",""
"5106","AMAT_Milan_feed","53","La Malfa - Stz Lambrate","","3","","",""
"5107","AMAT_Milan_feed","53","Sesto Marelli - Stz Lambrate (dev. mercato)","","3","","",""
"5131","AMAT_Milan_feed","901","Peschiera B.(don sturzo) - Milano(S.Donato M3)","","3","","",""
"5138","AMAT_Milan_feed","130","S.Donato M3 (Via Marignano) - S.Giuliano M.se (Zivido-Via Pace)","","3","","",""
"5205","AMAT_Milan_feed","27","Albricci - Ungheria","","0","","",""
"5238","AMAT_Milan_feed","973","San Babila - Aereoporto (ferm in Tricolore)","","3","","",""
"5239","AMAT_Milan_feed","973","Aereoporto - San Babila (ferm in Tricolore)","","3","","",""
